2025-10-23 08:49:44,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Determinante,Muito Relevante,Muito Relevante.1,Muito Relevante.2,Muito Relevante.3,Muito Relevante.4,Muito Relevante.5,Determinante.1,Determinante.2,Muito Relevante.6,Muito Relevante.7,Muito Relevante.8,Muito Relevante.9,Determinante.3,Muito Relevante.10,Muito Relevante.11,Muito Relevante.12,Determinante.4,Determinante.5,Determinante.6,Determinante.7,Muito Relevante.13,Determinante.8,Muito Relevante.14,Muito Relevante.15,Muito Relevante.16,Muito Relevante.17,Muito Relevante.18,Muito Relevante.19,Muito Relevante.20,Muito Relevante.21,Muito Relevante.22,Muito Relevante.23,Muito Relevante.24,Muito Relevante.25,Determinante.9,Determinante.10,Determinante.11,Determinante.12,Muito Relevante.26,Determinante.13,Determinante.14,Determinante.15,Determinante.16,Determinante.17,Determinante.18,Determinante.19,Determinante.20,Determinante.21,Determinante.22,Determinante.23,Determinante.24,Determinante.25,Determinante.26,Determinante.27,Determinante.28,Muito Relevante.27,Determinante.29,Determinante.30,Determinante.31,Determinante.32,Determinante.33,Determinante.34,Determinante.35,Determinante.36,Determinante.37,Determinante.38,Determinante.39,Determinante.40,Determinante.41,Unnamed: 75
2025-10-23 21:51:56,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Superior Tecnológos,Irrelevante,Indiferente,Determinante,Determinante,Muito Relevante,Muito Relevante,Irrelevante,Indiferente,Indiferente,Pouco Relevante,Determinante,Pouco Relevante,Determinante,Muito Relevante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Irrelevante,Irrelevante,Determinante,Indiferente,Irrelevante,Muito Relevante,Irrelevante,Indiferente,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Determinante,Muito Relevante,Determinante,Pouco Relevante,Determinante,Determinante,Determinante,Determinante,Irrelevante,Irrelevante,Irrelevante,Pouco Relevante,Determinante,Irrelevante,Irrelevante,Muito Relevante,Indiferente,Determinante,Determinante,Determinante,Determinante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Determinante,Indiferente,Irrelevante,Muito Relevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Determinante,Irrelevante,Melhorar os banheiro por chuveiro para quem vai direto do trabalho tomar banho e disponibilizar wi-fi
2025-10-23 21:53:04,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Superior Tecnológos,Pouco Relevante,Irrelevante,Indiferente,Indiferente,Pouco Relevante,Muito Relevante,Irrelevante,Irrelevante,Pouco Relevante,Muito Relevante,Pouco Relevante,Irrelevante,Muito Relevante,Irrelevante,Irrelevante,Irrelevante,Pouco Relevante,Determinante,Irrelevante,Irrelevante,Indiferente,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Pouco Relevante,Irrelevante,Irrelevante,Irrelevante,Pouco Relevante,Pouco Relevante,Irrelevante,Indiferente,Pouco Relevante,Muito Relevante,Pouco Relevante,Irrelevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Irrelevante,Irrelevante,Irrelevante,Muito Relevante,Irrelevante,Irrelevante,Indiferente,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Muito Relevante,
2025-10-23 22:06:49,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Superior Tecnológos,Pouco Relevante,Pouco Relevante,Irrelevante,Muito Relevante,Pouco Relevante,Muito Relevante,Pouco Relevante,Pouco Relevante,Indiferente,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Irrelevante,Pouco Relevante,Pouco Relevante,Indiferente,Indiferente,Pouco Relevante,Irrelevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Indiferente,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Muito Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Irrelevante,Indiferente,Irrelevante,Irrelevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Pouco Relevante,Pouco Relevante,Indiferente,Indiferente,Pouco Relevante,Irrelevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Indiferente,Indiferente,
2025-10-23 22:40:30,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Pouco Relevante,Indiferente,Muito Relevante,Indiferente,Indiferente,Indiferente,Indiferente,Muito Relevante,Indiferente,Indiferente,Indiferente,Muito Relevante,Pouco Relevante,Determinante,Indiferente,Indiferente,Indiferente,Indiferente,Determinante,Muito Relevante,Muito Relevante,Muito Relevante,Determinante,Irrelevante,Irrelevante,Indiferente,Muito Relevante,Indiferente,Pouco Relevante,Irrelevante,Indiferente,Pouco Relevante,Pouco Relevante,Irrelevante,Irrelevante,Muito Relevante,Indiferente,Muito Relevante,Indiferente,Pouco Relevante,Pouco Relevante,Indiferente,Muito Relevante,Pouco Relevante,Indiferente,Indiferente,Muito Relevante,Indiferente,Determinante,Irrelevante,Indiferente,Muito Relevante,Muito Relevante,Determinante,Determinante,Muito Relevante,Indiferente,Determinante,Irrelevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Pouco Relevante,Indiferente,Pouco Relevante,Pouco Relevante,Determinante,Indiferente,Irrelevante,Pouco Relevante,
2025-10-24 07:38:53,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Pouco Relevante,Indiferente,Indiferente,Pouco Relevante,Irrelevante,Irrelevante,Indiferente,Irrelevante,Indiferente,Irrelevante,Irrelevante,Irrelevante,Muito Relevante,Pouco Relevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Indiferente,Indiferente,Indiferente,Indiferente,Muito Relevante,Muito Relevante,Pouco Relevante,Determinante,Determinante,Determinante,Determinante,Pouco Relevante,Indiferente,Determinante,Determinante,Indiferente,Irrelevante,Muito Relevante,Determinante,Determinante,Indiferente,Pouco Relevante,Muito Relevante,Pouco Relevante,Indiferente,Indiferente,Indiferente,Muito Relevante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,
2025-10-24 08:33:32,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Determinante,Indiferente,Pouco Relevante,Pouco Relevante,Indiferente,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Determinante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,
2025-10-24 08:34:01,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Determinante,Indiferente,Pouco Relevante,Pouco Relevante,Indiferente,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,
2025-10-24 08:34:53,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Determinante,Indiferente,Indiferente,Indiferente,Determinante,Determinante,Determinante,Muito Relevante,Indiferente,Determinante,Determinante,Determinante,Determinante,Determinante,Muito Relevante,Muito Relevante,Muito Relevante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Muito Relevante,Indiferente,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Determinante,Muito Relevante,Indiferente,Muito Relevante,Determinante,Determinante,Determinante,Muito Relevante,Muito Relevante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,
2025-10-24 08:34:57,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Determinante,Indiferente,Determinante,Irrelevante,Muito Relevante,Determinante,Determinante,Determinante,Irrelevante,Indiferente,Determinante,Determinante,Determinante,Irrelevante,Indiferente,Indiferente,Determinante,Determinante,Determinante,Determinante,Pouco Relevante,Determinante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Determinante,Indiferente,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,
2025-10-24 08:35:11,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Muito Relevante,Pouco Relevante,Muito Relevante,Pouco Relevante,Determinante,Muito Relevante,Muito Relevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Muito Relevante,Indiferente,Determinante,Pouco Relevante,Pouco Relevante,Muito Relevante,Pouco Relevante,Determinante,Determinante,Determinante,Determinante,Irrelevante,Pouco Relevante,Determinante,Determinante,Indiferente,Indiferente,Indiferente,Muito Relevante,Indiferente,Indiferente,Muito Relevante,Indiferente,Indiferente,Determinante,Determinante,Pouco Relevante,Pouco Relevante,Indiferente,Determinante,Determinante,Pouco Relevante,Indiferente,Muito Relevante,Muito Relevante,Muito Relevante,Indiferente,Muito Relevante,Muito Relevante,Determinante,Muito Relevante,Determinante,Determinante,Determinante,Determinante,Determinante,Pouco Relevante,Indiferente,Indiferente,Muito Relevante,Indiferente,Muito Relevante,Indiferente,Muito Relevante,Indiferente,Muito Relevante,Indiferente,Muito Relevante,Indiferente,
2025-10-24 08:36:01,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Pouco Relevante,Indiferente,Indiferente,Indiferente,Muito Relevante,Muito Relevante,Indiferente,Indiferente,Indiferente,Muito Relevante,Muito Relevante,Determinante,Determinante,Indiferente,Muito Relevante,Determinante,Determinante,Determinante,Determinante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Determinante,Determinante,Muito Relevante,Determinante,Determinante,Muito Relevante,Muito Relevante,Determinante,Determinante,Determinante,Determinante,Determinante,Indiferente,Indiferente,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Muito Relevante,Muito Relevante,Muito Relevante,Determinante,Determinante,Determinante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Determinante,Muito Relevante,Determinante,Determinante,Determinante,Muito Relevante,Determinante,Muito Relevante,Determinante,Determinante,
2025-10-24 08:36:18,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Determinante,Indiferente,Pouco Relevante,Irrelevante,Irrelevante,Determinante,Irrelevante,Muito Relevante,Muito Relevante,Irrelevante,Determinante,Determinante,Determinante,Determinante,Indiferente,Indiferente,Muito Relevante,Muito Relevante,Determinante,Muito Relevante,Determinante,Determinante,Muito Relevante,Irrelevante,Indiferente,Indiferente,Irrelevante,Indiferente,Determinante,Indiferente,Pouco Relevante,Muito Relevante,Indiferente,Pouco Relevante,Muito Relevante,Determinante,Determinante,Determinante,Irrelevante,Irrelevante,Determinante,Determinante,Indiferente,Determinante,Irrelevante,Determinante,Irrelevante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,
2025-10-24 08:36:48,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Pouco Relevante,Indiferente,Indiferente,Pouco Relevante,Pouco Relevante,Indiferente,Muito Relevante,Muito Relevante,Indiferente,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Indiferente,Pouco Relevante,Determinante,Muito Relevante,Determinante,Muito Relevante,Pouco Relevante,Irrelevante,Indiferente,Indiferente,Muito Relevante,Determinante,Determinante,Muito Relevante,Muito Relevante,Muito Relevante,Determinante,Determinante,Indiferente,Muito Relevante,Determinante,Determinante,Muito Relevante,Muito Relevante,Determinante,Muito Relevante,Determinante,Muito Relevante,Muito Relevante,Indiferente,Determinante,Indiferente,Determinante,Muito Relevante,Muito Relevante,Indiferente,Muito Relevante,Muito Relevante,Determinante,Determinante,Muito Relevante,Muito Relevante,Determinante,Determinante,Determinante,Muito Relevante,Muito Relevante,Determinante,Determinante,Muito Relevante,Muito Relevante,Determinante,Muito Relevante,Muito Relevante,Muito Relevante,
2025-10-24 08:37:44,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Irrelevante,Muito Relevante,Indiferente,Irrelevante,Muito Relevante,Irrelevante,Pouco Relevante,Indiferente,Muito Relevante,Muito Relevante,Muito Relevante,Indiferente,Determinante,Muito Relevante,Indiferente,Indiferente,Muito Relevante,Determinante,Muito Relevante,Muito Relevante,Determinante,Indiferente,Indiferente,Irrelevante,Indiferente,Indiferente,Muito Relevante,Indiferente,Muito Relevante,Indiferente,Muito Relevante,Indiferente,Determinante,Muito Relevante,Muito Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Irrelevante,Determinante,Determinante,Determinante,
2025-10-24 08:38:16,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Determinante,Determinante,Determinante,Muito Relevante,Determinante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Indiferente,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Determinante,Muito Relevante,Muito Relevante,Determinante,Determinante,Determinante,Determinante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Determinante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,
2025-10-24 08:38:18,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Indiferente,Indiferente,Pouco Relevante,Indiferente,Indiferente,Pouco Relevante,Determinante,Muito Relevante,Indiferente,Muito Relevante,Muito Relevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Muito Relevante,Pouco Relevante,Pouco Relevante,Indiferente,Determinante,Determinante,Indiferente,Muito Relevante,Indiferente,Pouco Relevante,Irrelevante,Irrelevante,Pouco Relevante,Indiferente,Irrelevante,Irrelevante,Pouco Relevante,Indiferente,Pouco Relevante,Pouco Relevante,Pouco Relevante,Indiferente,Pouco Relevante,Indiferente,Pouco Relevante,Pouco Relevante,Muito Relevante,Indiferente,Muito Relevante,Indiferente,Muito Relevante,Indiferente,Pouco Relevante,Indiferente,Muito Relevante,Indiferente,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Indiferente,Pouco Relevante,Indiferente,Irrelevante,Irrelevante,Irrelevante,Pouco Relevante,Indiferente,Pouco Relevante,Irrelevante,Irrelevante,Indiferente,Indiferente,Pouco Relevante,Pouco Relevante,
2025-10-24 08:38:55,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Pouco Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Pouco Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,
2025-10-24 08:39:02,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Pouco Relevante,Muito Relevante,Muito Relevante,Irrelevante,Pouco Relevante,Determinante,Determinante,Pouco Relevante,Determinante,Determinante,Determinante,Indiferente,Indiferente,Determinante,Pouco Relevante,Pouco Relevante,Irrelevante,Determinante,Determinante,Determinante,Indiferente,Irrelevante,Irrelevante,Determinante,Determinante,Determinante,Determinante,Irrelevante,Irrelevante,Determinante,Determinante,Determinante,Irrelevante,Determinante,Determinante,Irrelevante,Determinante,Determinante,Irrelevante,Pouco Relevante,Determinante,Determinante,Pouco Relevante,Determinante,Determinante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Determinante,Irrelevante,Pouco Relevante,Determinante,Determinante,Determinante,Determinante,Pouco Relevante,Determinante,Pouco Relevante,Determinante,Determinante,Determinante,Determinante,Irrelevante,Irrelevante,Determinante,Determinante,Determinante,Irrelevante,Determinante,Determinante,
