2025-10-23 08:49:44,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Determinante,Muito Relevante,Muito Relevante.1,Muito Relevante.2,Muito Relevante.3,Muito Relevante.4,Muito Relevante.5,Determinante.1,Determinante.2,Muito Relevante.6,Muito Relevante.7,Muito Relevante.8,Muito Relevante.9,Determinante.3,Muito Relevante.10,Muito Relevante.11,Muito Relevante.12,Determinante.4,Determinante.5,Determinante.6,Determinante.7,Muito Relevante.13,Determinante.8,Muito Relevante.14,Muito Relevante.15,Muito Relevante.16,Muito Relevante.17,Muito Relevante.18,Muito Relevante.19,Muito Relevante.20,Muito Relevante.21,Muito Relevante.22,Muito Relevante.23,Muito Relevante.24,Muito Relevante.25,Determinante.9,Determinante.10,Determinante.11,Determinante.12,Muito Relevante.26,Determinante.13,Determinante.14,Determinante.15,Determinante.16,Determinante.17,Determinante.18,Determinante.19,Determinante.20,Determinante.21,Determinante.22,Determinante.23,Determinante.24,Determinante.25,Determinante.26,Determinante.27,Determinante.28,Muito Relevante.27,Determinante.29,Determinante.30,Determinante.31,Determinante.32,Determinante.33,Determinante.34,Determinante.35,Determinante.36,Determinante.37,Determinante.38,Determinante.39,Determinante.40,Determinante.41,Unnamed: 75
2025-10-24 08:43:11,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Pouco Relevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Pouco Relevante,Determinante,Pouco Relevante,Irrelevante,Irrelevante,Pouco Relevante,Irrelevante,Determinante,Muito Relevante,Muito Relevante,Pouco Relevante,Irrelevante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Indiferente,Determinante,Pouco Relevante,Muito Relevante,Muito Relevante,Indiferente,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,
2025-10-24 09:48:12,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Determinante,Determinante,Muito Relevante,Muito Relevante,Determinante,Muito Relevante,Muito Relevante,Indiferente,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Indiferente,Muito Relevante,Indiferente,Muito Relevante,Muito Relevante,Determinante,Irrelevante,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Muito Relevante,Indiferente,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,.
2025-10-24 09:50:35,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Muito Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Pouco Relevante,Muito Relevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Pouco Relevante,Indiferente,Indiferente,Irrelevante,Indiferente,Indiferente,Indiferente,Irrelevante,Irrelevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Indiferente,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,
2025-10-24 09:51:16,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Pouco Relevante,Indiferente,Indiferente,Indiferente,Indiferente,Muito Relevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Indiferente,Indiferente,Muito Relevante,Muito Relevante,Determinante,Determinante,Irrelevante,Indiferente,Determinante,Determinante,Determinante,Determinante,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Determinante,Indiferente,Indiferente,Indiferente,Indiferente,Determinante,Determinante,Indiferente,Muito Relevante,Indiferente,Indiferente,Muito Relevante,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,
2025-10-24 09:52:04,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Indiferente,Irrelevante,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Determinante,Irrelevante,Pouco Relevante,Determinante,Irrelevante,Muito Relevante,Indiferente,Muito Relevante,Pouco Relevante,Muito Relevante,Determinante,Determinante,Determinante,Muito Relevante,Determinante,Muito Relevante,Muito Relevante,Muito Relevante,Indiferente,Muito Relevante,Indiferente,Determinante,Determinante,Determinante,Determinante,Determinante,Muito Relevante,Determinante,Muito Relevante,Determinante,Muito Relevante,Determinante,Muito Relevante,Determinante,Muito Relevante,Determinante,Muito Relevante,Determinante,Muito Relevante,Determinante,Muito Relevante,Muito Relevante,Determinante,Muito Relevante,Muito Relevante,Determinante,Muito Relevante,Determinante,Muito Relevante,Determinante,Muito Relevante,Determinante,Muito Relevante,Determinante,Muito Relevante,Muito Relevante,
2025-10-24 09:52:14,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Não tenho um curso certo,Muito Relevante,Indiferente,Muito Relevante,Muito Relevante,Muito Relevante,Indiferente,Pouco Relevante,Muito Relevante,Muito Relevante,Indiferente,Muito Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Indiferente,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Indiferente,Pouco Relevante,Indiferente,Indiferente,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,
2025-10-24 09:53:24,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Determinante,Muito Relevante,Indiferente,Indiferente,Determinante,Determinante,Determinante,Indiferente,Determinante,Determinante,Determinante,Muito Relevante,Determinante,Indiferente,Determinante,Pouco Relevante,Determinante,Irrelevante,Determinante,Determinante,Determinante,Determinante,Irrelevante,Irrelevante,Pouco Relevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Indiferente,Irrelevante,Pouco Relevante,Irrelevante,Determinante,Determinante,Determinante,Pouco Relevante,Determinante,Determinante,Determinante,Pouco Relevante,Determinante,Determinante,Determinante,Muito Relevante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Irrelevante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,
2025-10-24 09:54:33,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Muito Relevante,Pouco Relevante,Muito Relevante,Pouco Relevante,Muito Relevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Indiferente,Muito Relevante,Muito Relevante,Muito Relevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,
2025-10-24 09:54:57,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Indiferente,Pouco Relevante,Pouco Relevante,Irrelevante,Indiferente,Indiferente,Indiferente,Muito Relevante,Pouco Relevante,Indiferente,Pouco Relevante,Pouco Relevante,Indiferente,Indiferente,Irrelevante,Muito Relevante,Muito Relevante,Determinante,Muito Relevante,Indiferente,Indiferente,Pouco Relevante,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Muito Relevante,Indiferente,Muito Relevante,Muito Relevante,Indiferente,Indiferente,Pouco Relevante,Muito Relevante,Indiferente,Pouco Relevante,Determinante,Pouco Relevante,Indiferente,Indiferente,Indiferente,Muito Relevante,Indiferente,Muito Relevante,Indiferente,Indiferente,Indiferente,Indiferente,Irrelevante,Muito Relevante,Muito Relevante,Determinante,Determinante,Indiferente,Indiferente,Pouco Relevante,Indiferente,Pouco Relevante,Pouco Relevante,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Muito Relevante,Muito Relevante,Indiferente,
2025-10-24 09:55:24,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Irrelevante,Indiferente,Pouco Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Irrelevante,Muito Relevante,Muito Relevante,Pouco Relevante,Pouco Relevante,Indiferente,Irrelevante,Irrelevante,Muito Relevante,Irrelevante,Irrelevante,Indiferente,Irrelevante,Muito Relevante,Irrelevante,Irrelevante,Irrelevante,Pouco Relevante,Indiferente,Muito Relevante,Irrelevante,Irrelevante,Pouco Relevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Determinante,Irrelevante,Determinante,Determinante,Determinante,Determinante,Muito Relevante,Determinante,Determinante,Determinante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,
2025-10-24 09:55:58,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Indiferente,Pouco Relevante,Indiferente,Pouco Relevante,Pouco Relevante,Indiferente,Indiferente,Irrelevante,Pouco Relevante,Irrelevante,Pouco Relevante,Pouco Relevante,Indiferente,Muito Relevante,Muito Relevante,Pouco Relevante,Irrelevante,Determinante,Determinante,Indiferente,Pouco Relevante,Pouco Relevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Indiferente,Indiferente,Muito Relevante,Pouco Relevante,Muito Relevante,Indiferente,Indiferente,Muito Relevante,Indiferente,Indiferente,Indiferente,Indiferente,Irrelevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Indiferente,Irrelevante,Muito Relevante,Pouco Relevante,Pouco Relevante,Irrelevante,Pouco Relevante,Pouco Relevante,Indiferente,Indiferente,Pouco Relevante,Pouco Relevante,Irrelevante,Pouco Relevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Indiferente,Irrelevante,Irrelevante,Pouco Relevante,Pouco Relevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,
2025-10-24 09:56:05,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Muito Relevante,Muito Relevante,Irrelevante,Indiferente,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Indiferente,Indiferente,Muito Relevante,Indiferente,Indiferente,Muito Relevante,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Indiferente,Muito Relevante,Indiferente,Indiferente,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Indiferente,Muito Relevante,Muito Relevante,Indiferente,Indiferente,Indiferente,Muito Relevante,Indiferente,Indiferente,Muito Relevante,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Muito Relevante,Muito Relevante,Muito Relevante,.
2025-10-24 09:56:52,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Pouco Relevante,Muito Relevante,Pouco Relevante,Irrelevante,Pouco Relevante,Irrelevante,Indiferente,Determinante,Indiferente,Determinante,Muito Relevante,Irrelevante,Pouco Relevante,Indiferente,Determinante,Irrelevante,Muito Relevante,Determinante,Pouco Relevante,Determinante,Muito Relevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Pouco Relevante,Pouco Relevante,Irrelevante,Irrelevante,Muito Relevante,Irrelevante,Determinante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,
2025-10-24 09:58:15,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Determinante,Muito Relevante,Indiferente,Determinante,Indiferente,Determinante,Determinante,Muito Relevante,Determinante,Indiferente,Pouco Relevante,Indiferente,Indiferente,Muito Relevante,Muito Relevante,Muito Relevante,Determinante,Muito Relevante,Determinante,Muito Relevante,Pouco Relevante,Muito Relevante,Determinante,Pouco Relevante,Muito Relevante,Determinante,Indiferente,Pouco Relevante,Muito Relevante,Pouco Relevante,Pouco Relevante,Indiferente,Muito Relevante,Pouco Relevante,Indiferente,Muito Relevante,Indiferente,Muito Relevante,Determinante,Pouco Relevante,Determinante,Determinante,Determinante,Determinante,Indiferente,Determinante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Indiferente,Determinante,Determinante,Determinante,Determinante,Indiferente,Irrelevante,Determinante,Determinante,Muito Relevante,Muito Relevante,Determinante,Muito Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Pouco Relevante,Determinante,Muito Relevante,Pouco Relevante,Irrelevante,
2025-10-24 09:58:36,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Indiferente,Determinante,Pouco Relevante,Determinante,Determinante,Muito Relevante,Muito Relevante,Muito Relevante,Determinante,Determinante,Muito Relevante,Determinante,Determinante,Indiferente,Irrelevante,Determinante,Determinante,Determinante,Determinante,Determinante,Determinante,Indiferente,Muito Relevante,Determinante,Indiferente,Determinante,Indiferente,Muito Relevante,Pouco Relevante,Pouco Relevante,Indiferente,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Determinante,Determinante,Indiferente,Indiferente,Indiferente,Determinante,Indiferente,Determinante,Determinante,Indiferente,Determinante,Determinante,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Pouco Relevante,Indiferente,Pouco Relevante,Muito Relevante,Pouco Relevante,Determinante,Irrelevante,
2025-10-24 09:59:44,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Pouco Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Determinante,Muito Relevante,Indiferente,Determinante,Indiferente,Irrelevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Pouco Relevante,Muito Relevante,Determinante,Determinante,Determinante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Determinante,Muito Relevante,Determinante,Muito Relevante,Determinante,Pouco Relevante,Muito Relevante,Determinante,Muito Relevante,Pouco Relevante,Determinante,Pouco Relevante,Pouco Relevante,Muito Relevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Pouco Relevante,Pouco Relevante,Muito Relevante,Determinante,Muito Relevante,Muito Relevante,Pouco Relevante,Indiferente,Indiferente,Pouco Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Pouco Relevante,Pouco Relevante,
2025-10-24 10:01:07,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Irrelevante,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente,
2025-10-24 10:06:15,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Muito Relevante,Indiferente,Indiferente,Muito Relevante,Muito Relevante,Indiferente,Indiferente,Indiferente,Muito Relevante,Indiferente,Indiferente,Pouco Relevante,Pouco Relevante,Pouco Relevante,Indiferente,Indiferente,Indiferente,Indiferente,Irrelevante,Indiferente,Indiferente,Pouco Relevante,Pouco Relevante,Determinante,Determinante,Determinante,Muito Relevante,Indiferente,Indiferente,Indiferente,Muito Relevante,Muito Relevante,Muito Relevante,Indiferente,Muito Relevante,Muito Relevante,Pouco Relevante,Indiferente,Indiferente,Muito Relevante,Muito Relevante,Muito Relevante,Indiferente,Indiferente,Indiferente,Muito Relevante,Muito Relevante,Muito Relevante,Indiferente,Pouco Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Pouco Relevante,Muito Relevante,Muito Relevante,Muito Relevante,Indiferente,Determinante,Muito Relevante,Indiferente,Indiferente,Indiferente,Muito Relevante,Indiferente,Muito Relevante,Muito Relevante,Muito Relevante,Muito Relevante,
2025-10-24 10:06:29,Estudante,Tangará da Serra,Estudante matriculado(a) atualmente,Técnico Integrado ao Nível Médio,Muito Relevante,Indiferente,Irrelevante,Indiferente,Irrelevante,Pouco Relevante,Indiferente,Indiferente,Indiferente,Muito Relevante,Muito Relevante,Pouco Relevante,Irrelevante,Irrelevante,Irrelevante,Pouco Relevante,Irrelevante,Irrelevante,Pouco Relevante,Irrelevante,Pouco Relevante,Muito Relevante,Muito Relevante,Indiferente,Muito Relevante,Muito Relevante,Indiferente,Pouco Relevante,Indiferente,Irrelevante,Irrelevante,Irrelevante,Indiferente,Pouco Relevante,Irrelevante,Pouco Relevante,Irrelevante,Irrelevante,Pouco Relevante,Irrelevante,Muito Relevante,Muito Relevante,Indiferente,Irrelevante,Muito Relevante,Indiferente,Pouco Relevante,Pouco Relevante,Irrelevante,Irrelevante,Pouco Relevante,Irrelevante,Irrelevante,Indiferente,Irrelevante,Irrelevante,Pouco Relevante,Indiferente,Muito Relevante,Indiferente,Indiferente,Pouco Relevante,Indiferente,Pouco Relevante,Irrelevante,Irrelevante,Pouco Relevante,Pouco Relevante,Irrelevante,Irrelevante,
